# x y z w pot
-5.6188416873 2.9113294386 2.0287086511 0.84028137009 1
-4.6493565075 3.1777477833 2.4777440938 0.025093063263 1
-4.481227749 3.2227557131 2.5025396306 0.6252398271 1
-5.0456286742 2.614326602 1.8931591879 0.57300729646 1
-4.9903215064 2.007314597 2.8888759761 0.0072530679596 1
-4.828684337 2.2804056566 2.9804093461 0.62317780425 1
-4.481227749 1.8025359411 2.5227520237 0.0061380464236 1
-5.6093502714 2.2563136794 3.3340616709 0.0090530865778 1
-3.7718483416 2.5779874455 3.277991135 0.4505560591 1
-3.0721788191 3.0721788191 2.6399622751 0.32611747929 1
-3.4211893681 2.3383186282 3.0383223177 0.32538642747 1
-3.0322160185 2.182713492 2.8827171814 0.17681823933 1
-3.387065531 2.1387970049 2.6870618415 0.00028555941524 1
-4.3623619723 2.0601791758 2.7601828653 0.43849524998 1
-3.7491318652 2.367427477 3.0491281757 0.00024992562279 1
-3.9568044757 1.8686496525 2.568653342 0.31695684257 1
-3.6348739656 2.0520268814 1.8400419744 0.16796131963 1
-2.9531356866 2.2110817599 2.086606361 0.13097505301 1
-3.0721788191 1.9399585856 2.3721751296 0.00032893649945 1
